user_time,system_time,cpu_percent,wallclock_time,max_rss
37.158,1.601,368.89%,10.507,2064384
36.470,0.569,387.58%,9.557,2228224
36.393,0.559,386.00%,9.573,2064384
36.832,0.541,390.24%,9.577,2736128
36.769,0.523,389.91%,9.564,2097152
36.344,0.466,389.41%,9.453,2179072
36.590,0.387,389.86%,9.485,2080768
36.483,0.435,390.27%,9.460,2097152
36.415,0.455,389.44%,9.467,2080768
36.587,0.592,388.50%,9.570,2228224
36.538,0.551,389.31%,9.527,2080768
36.435,0.578,387.46%,9.553,2228224
39.058,1.384,391.30%,10.335,2244608
36.488,0.533,389.39%,9.508,2260992
36.672,0.499,389.79%,9.536,2424832
36.596,0.521,390.01%,9.517,2097152
36.614,0.525,387.95%,9.573,2064384
36.503,0.482,389.95%,9.484,2228224
36.710,0.489,389.45%,9.552,2080768
36.663,0.501,389.70%,9.537,2080768
36.645,0.517,390.34%,9.520,2097152
36.542,0.422,389.61%,9.488,2392064
36.760,0.455,390.58%,9.528,2277376
36.721,0.465,389.46%,9.548,2097152
38.204,0.544,381.78%,10.149,2818048
37.313,0.540,390.80%,9.686,2293760
36.545,0.443,389.15%,9.505,2080768
36.355,0.447,389.46%,9.450,2064384
36.492,0.494,389.97%,9.484,2228224
36.777,0.467,389.60%,9.560,2097152
37.265,0.524,390.11%,9.687,2244608
36.717,0.596,390.05%,9.566,2736128
36.923,0.509,391.21%,9.568,2097152
36.843,0.589,390.75%,9.580,2080768
41.427,0.876,391.57%,10.804,2818048
38.787,0.711,385.27%,10.252,2392064
36.328,0.446,388.63%,9.462,2080768
36.599,0.474,390.26%,9.500,2113536
36.876,0.430,390.65%,9.550,2080768
36.440,0.513,388.20%,9.519,2080768
36.645,0.491,389.65%,9.531,2064384
37.035,0.762,394.11%,9.590,2228224
36.723,0.917,386.53%,9.738,2834432
37.013,1.213,390.34%,9.793,2080768
38.551,0.876,387.15%,10.184,2326528
56.736,1.260,371.83%,15.597,2162688
36.721,0.557,389.66%,9.567,2146304
36.615,0.468,389.64%,9.517,2080768
37.162,1.144,393.70%,9.730,2097152
36.728,0.463,390.19%,9.532,2392064
